tournament,gender,match_count,avg_goals
Tournoi de France,F,18,2.44
UEFA Euro,M,388,2.44
Copa Lipton,M,28,2.43
African Cup of Nations qualification,M,2278,2.42
Four Nations Tournament,F,106,2.42
UDEAC Cup,M,70,2.41
SheBelieves Cup,F,55,2.40
African Cup of Nations,M,793,2.38
SKN Football Festival,M,11,2.36
Copa Artigas,M,13,2.31
Pinatar Cup,F,34,2.26
Malta International Tournament,M,53,2.26
Copa Juan Pinto Durán,M,16,2.25
Amílcar Cabral Cup,M,235,2.25
COSAFA Cup,M,354,2.21
Dynasty Cup,M,29,2.21
WAFF Championship,M,114,2.18
Peace Queen Cup,F,30,2.13
Simba Tournament,M,17,2.12
Kirin Cup,M,75,2.11
Tournament Burkina Faso,M,11,2.09
MSG Prime Minister's Cup,M,12,2.00
SAFF Women's Friendly Tournament,F,17,1.65
Rous Cup,M,11,1.36
